i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
10,,,1,5,25.613251657140296,-100.27046020302545,5,100.8677988430215,,,
28,,,1,5,25.62699386707766,-100.26523388256403,5,0.0,,,
44,1284.0,276.089370854532,0,5,25.617492862948573,-100.2610979615538,5,68.709904665926,25.61942047958343,-100.2614039812827,5.0
82,,,1,5,25.61768239189715,-100.2706622339132,5,6.155472251217038,,,
94,906.0,329.0622317081761,0,5,25.628157749546755,-100.26849407628312,5,54.30256244816175,25.62574194071429,-100.26945383759315,5.0
147,1248.0,130.85189064407584,0,5,25.619358991874083,-100.26929774513967,5,52.64774295015716,25.618136440513293,-100.26922890852639,5.0
185,1284.0,315.77648489878607,0,5,25.619115212372677,-100.25837820886304,5,15.615372926992382,25.61942047958343,-100.2614039812827,5.0
208,906.0,60.73644564052165,0,5,25.62517666383051,-100.26937599686357,5,19.09642838431958,25.62574194071429,-100.26945383759315,5.0
221,906.0,167.6821905679467,0,5,25.627058274066595,-100.26929316356208,5,131.61974514575263,25.62574194071429,-100.26945383759315,5.0
246,1248.0,99.8009353766572,0,5,25.619343642979917,-100.26990764011732,5,75.22158791574014,25.618136440513293,-100.26922890852639,5.0
289,66.0,97.21843233222866,0,5,25.610516935287723,-100.27465794946029,5,39.08950005646574,25.61026465418857,-100.27575753685043,5.0
299,1248.0,83.6262958480015,0,5,25.6189279582796,-100.26905133065245,5,32.621379925459394,25.618136440513293,-100.26922890852639,5.0
330,,,1,5,25.61395739996381,-100.2704073491198,5,33.557059662927685,,,
372,1284.0,231.85079805393207,0,5,25.617767920640198,-100.25998305594037,5,105.90217235176853,25.61942047958343,-100.2614039812827,5.0
415,1248.0,207.35270603030318,0,5,25.620109118030292,-100.26901593208699,5,168.3307855535907,25.618136440513293,-100.26922890852639,5.0
457,,,1,5,25.607737171383533,-100.2808158826059,5,23.214075294674355,,,
460,1284.0,231.85079805393207,0,5,25.618109308577402,-100.25871258609807,5,50.72828484067647,25.61942047958343,-100.2614039812827,5.0
484,906.0,85.39072940420907,0,5,25.62553784584442,-100.27015565179217,5,119.42875478308669,25.62574194071429,-100.26945383759315,5.0
501,1284.0,70.50195088800025,0,5,25.618095366380707,-100.26069924507057,5,96.2557827923701,25.61942047958343,-100.2614039812827,5.0
504,906.0,307.4991118847419,0,5,25.62576786076946,-100.27113642915435,5,148.64572175448777,25.62574194071429,-100.26945383759315,5.0
524,1248.0,193.97669483811285,0,5,25.61830756416647,-100.26793247826231,5,23.855124591777777,25.618136440513293,-100.26922890852639,5.0
535,1284.0,70.50195088800025,0,5,25.618658930204308,-100.26094146007709,5,70.07312417664153,25.61942047958343,-100.2614039812827,5.0
560,1248.0,192.86696651986392,0,5,25.61993168202605,-100.26926571651362,5,168.5599940761862,25.618136440513293,-100.26922890852639,5.0
561,488.0,147.87659993709775,0,5,25.620769359381306,-100.26471691155973,5,41.708369428633034,25.620383704649388,-100.26605517640876,5.0
606,942.0,179.10577649944676,0,5,25.611859692386385,-100.26678979125091,5,149.55181478398316,25.613323364868656,-100.2662673782813,5.0
638,488.0,0.0,0,5,25.620383704649388,-100.26605517640876,5,140.43523505634496,25.620383704649388,-100.26605517640876,5.0
665,488.0,304.75862236389713,0,5,25.61854562381188,-100.26690490692593,5,101.15103719161492,25.620383704649388,-100.26605517640876,5.0
671,1248.0,230.04816496497688,0,5,25.61931761349457,-100.26799024075233,5,219.32884236808223,25.618136440513293,-100.26922890852639,5.0
705,,,1,5,25.62198998802496,-100.26200125157558,5,38.02296279871977,,,
718,906.0,270.98541386570645,0,5,25.627325382893265,-100.2686815528057,5,50.763806045132355,25.62574194071429,-100.26945383759315,5.0
721,2409.0,216.6380768470951,0,5,25.61617402671605,-100.26529159450013,5,140.67504628243273,25.616453484860433,-100.26538502025461,5.0
749,488.0,187.4661533220708,0,5,25.618781027803966,-100.26576693036235,5,161.59953004680582,25.620383704649388,-100.26605517640876,5.0
796,488.0,217.12603212433544,0,5,25.618436638275867,-100.26569668925109,5,281.8377102929148,25.620383704649388,-100.26605517640876,5.0
805,,,1,5,25.614275838280324,-100.26889616814807,5,38.5993021741493,,,
827,942.0,351.25187124501883,0,5,25.61283089961375,-100.26487752945285,5,180.8654149291609,25.613323364868656,-100.2662673782813,5.0
829,906.0,199.5599662102985,0,5,25.62470270885628,-100.2690492370992,5,446.22725616294014,25.62574194071429,-100.26945383759315,5.0
853,66.0,295.7616792904948,0,5,25.609151146570365,-100.27345103294371,5,122.07355096719645,25.61026465418857,-100.27575753685043,5.0
936,,,1,5,25.610711282235282,-100.26926722682839,5,181.18681599033695,,,
967,1248.0,241.79510486345987,0,5,25.620217696160708,-100.26925610684806,5,38.25258400888397,25.618136440513293,-100.26922890852639,5.0
979,488.0,345.28451411099167,0,5,25.61900310611995,-100.26469600568403,5,52.57564801984771,25.620383704649388,-100.26605517640876,5.0
1008,2409.0,111.28722091709074,0,5,25.61681173508848,-100.26404033841644,5,56.506284195703095,25.616453484860433,-100.26538502025461,5.0
1058,66.0,183.05975564112146,0,5,25.609521840649936,-100.27673633470255,5,15.90858209949148,25.61026465418857,-100.27575753685043,5.0
1061,1248.0,270.5319401367442,0,5,25.62079234717802,-100.26919429553813,5,99.95411682077875,25.618136440513293,-100.26922890852639,5.0
1110,2409.0,138.5054831212096,0,5,25.616530543687556,-100.26656963589572,5,817.0238702432114,25.616453484860433,-100.26538502025461,5.0
1129,,,1,5,25.60869458913339,-100.27768516309216,5,0.0,,,
1131,906.0,56.01921184749644,0,5,25.62618099648701,-100.26959566509363,5,139.81778080435112,25.62574194071429,-100.26945383759315,5.0
1192,66.0,66.0712869428838,0,5,25.61097833287699,-100.27487527539799,5,147.41892359396502,25.61026465418857,-100.27575753685043,5.0
1204,,,1,5,25.623281054698985,-100.27329211953153,5,104.00630342320405,,,
1205,1248.0,85.99694859676227,0,5,25.617154771361953,-100.26927713400171,5,310.31693960223987,25.618136440513293,-100.26922890852639,5.0
1226,,,1,5,25.614897034506527,-100.26933582191384,5,33.706841464753985,,,
1242,1284.0,212.0082727536505,0,5,25.619463801808376,-100.26252490150857,5,95.92664557529928,25.61942047958343,-100.2614039812827,5.0
1266,1284.0,314.0443890211021,0,5,25.620381625981754,-100.26148272160856,5,102.54841869640617,25.61942047958343,-100.2614039812827,5.0
1292,2409.0,152.42451533483074,0,5,25.617800436185952,-100.26560032492706,5,61.40188993278944,25.616453484860433,-100.26538502025461,5.0
1306,66.0,323.2775961398173,0,5,25.608317323487377,-100.2759791965276,5,56.449226499217325,25.61026465418857,-100.27575753685043,5.0
1323,906.0,0.0,0,5,25.62574194071429,-100.26945383759315,5,500.82686603949963,25.62574194071429,-100.26945383759315,5.0
1333,1284.0,237.22960203006676,0,5,25.618950403419944,-100.25910713641557,5,25.439865699263112,25.61942047958343,-100.2614039812827,5.0
1343,906.0,260.0268391589335,0,5,25.624309001660638,-100.26856424196407,5,75.59908674255752,25.62574194071429,-100.26945383759315,5.0
1389,942.0,0.0,0,5,25.613323364868656,-100.2662673782813,5,123.75102531231546,25.613323364868656,-100.2662673782813,5.0
1418,2570.0,53.080688958134616,0,5,25.62340461194505,-100.26780650676587,5,40.78523980592362,25.62293379586146,-100.26749161081092,5.0
1438,,,1,5,25.611908652851444,-100.27188511932594,5,107.17555236694196,,,
1454,1284.0,314.0443890211021,0,5,25.620292384480493,-100.26184277078181,5,61.918066375620576,25.61942047958343,-100.2614039812827,5.0
1464,942.0,0.0,0,5,25.613284433790437,-100.26751682662318,5,111.44510646262685,25.613323364868656,-100.2662673782813,5.0
1489,2570.0,186.17057981936287,0,5,25.62412102253503,-100.26578183981441,5,84.51005909231093,25.62293379586146,-100.26749161081092,5.0
1491,1248.0,74.17235178376863,0,5,25.61816019927581,-100.26868490031485,5,5.880953238360869,25.618136440513293,-100.26922890852639,5.0
1492,906.0,56.01921184749644,0,5,25.626477998461677,-100.2698914867208,5,105.43286604630747,25.62574194071429,-100.26945383759315,5.0
1502,1284.0,315.77648489878607,0,5,25.619294798456384,-100.25742822707247,5,220.15579643211257,25.61942047958343,-100.2614039812827,5.0
1540,2409.0,352.6441309236245,0,5,25.614275957172534,-100.26308085486896,5,131.17099125442826,25.616453484860433,-100.26538502025461,5.0
1650,1284.0,70.50195088800025,0,5,25.619025389221726,-100.26103796841842,5,94.12736668159748,25.61942047958343,-100.2614039812827,5.0
1664,488.0,162.76275457600562,0,5,25.621889096545516,-100.26518340951411,5,85.26192315843348,25.620383704649388,-100.26605517640876,5.0
1707,2409.0,216.6380768470951,0,5,25.615709538965795,-100.26522517758559,5,41.391445506768505,25.616453484860433,-100.26538502025461,5.0
1711,942.0,203.67951415687114,0,5,25.614854377593105,-100.26683551690985,5,5.729203930201617,25.613323364868656,-100.2662673782813,5.0
1732,2409.0,288.8939285548638,0,5,25.617683303464638,-100.26668922698569,5,66.68497691923773,25.616453484860433,-100.26538502025461,5.0
1752,,,1,5,25.608351709326595,-100.28023589614413,5,157.60198793622172,,,
1771,942.0,179.10577649944676,0,5,25.612095971296764,-100.26565198549035,5,51.44435421318081,25.613323364868656,-100.2662673782813,5.0
1827,1248.0,256.08410246486034,0,5,25.62049782138853,-100.26928236643161,5,166.93454214834082,25.618136440513293,-100.26922890852639,5.0
1836,2409.0,188.38683462870898,0,5,25.616280868625687,-100.26336989908768,5,22.86017832860947,25.616453484860433,-100.26538502025461,5.0
1837,2409.0,327.0948841551716,0,5,25.613458544541373,-100.26376754506308,5,142.70818995556664,25.616453484860433,-100.26538502025461,5.0
1844,2409.0,66.93350583680962,0,5,25.617108892968044,-100.26547898466897,5,124.74908116505927,25.616453484860433,-100.26538502025461,5.0
1847,,,1,5,25.613956720623595,-100.2694331481317,5,0.0,,,
1857,1248.0,0.0,0,5,25.618136440513293,-100.26922890852639,5,47.7426215513032,25.618136440513293,-100.26922890852639,5.0
1896,,,1,5,25.622312811144003,-100.26322691805183,5,45.87923593858363,,,
1921,1284.0,0.0,0,5,25.61942047958343,-100.2614039812827,5,110.62171419396421,25.61942047958343,-100.2614039812827,5.0
1959,1284.0,274.10339443303997,0,5,25.619877266369496,-100.26152243692242,5,153.83992918492686,25.61942047958343,-100.2614039812827,5.0
1962,906.0,341.41485338347553,0,5,25.62750142897285,-100.26990277598108,5,126.06495140941382,25.62574194071429,-100.26945383759315,5.0
1972,2570.0,291.16817993526377,0,5,25.624946343967082,-100.2672272660174,5,81.23408244708473,25.62293379586146,-100.26749161081092,5.0
2003,488.0,296.7790321928936,0,5,25.620406559333897,-100.26268542700906,5,87.92067256442857,25.620383704649388,-100.26605517640876,5.0
2040,906.0,217.53051939194978,0,5,25.626163156902667,-100.26826761172597,5,55.184989994562876,25.62574194071429,-100.26945383759315,5.0
2047,2409.0,25.225342197679158,0,5,25.616744449781866,-100.26541619615847,5,182.59798125807166,25.616453484860433,-100.26538502025461,5.0
2085,66.0,266.41858125488454,0,5,25.61115744913063,-100.27401495324749,5,200.92428044439643,25.61026465418857,-100.27575753685043,5.0
2095,,,1,5,25.6110643968434,-100.2795074703027,5,124.22920030276882,,,
2099,1284.0,276.089370854532,0,5,25.617411523896394,-100.26198692796565,5,81.71396558551004,25.61942047958343,-100.2614039812827,5.0
2113,906.0,202.2046946778728,0,5,25.626737411472153,-100.27084876734786,5,56.88764579481459,25.62574194071429,-100.26945383759315,5.0
2114,488.0,36.132962600015794,0,5,25.62008587654231,-100.26600811216036,5,76.10641143114127,25.620383704649388,-100.26605517640876,5.0
2145,,,1,5,25.61774118596473,-100.27169976732097,5,87.14224644727697,,,
2167,942.0,351.25187124501883,0,5,25.61295843339137,-100.26398357628493,5,145.0818420275968,25.613323364868656,-100.2662673782813,5.0
2195,66.0,262.71075734209336,0,5,25.608708289052657,-100.27623645914957,5,1.8178664488128509,25.61026465418857,-100.27575753685043,5.0
2289,488.0,271.6027568898572,0,5,25.62114373901809,-100.26395362362445,5,41.254056668911616,25.620383704649388,-100.26605517640876,5.0
2291,488.0,28.164147797069752,0,5,25.620614227895146,-100.26609461797604,5,190.92562268158494,25.620383704649388,-100.26605517640876,5.0
2292,488.0,219.30940798743694,0,5,25.62146179014919,-100.26622958071692,5,23.00232872877493,25.620383704649388,-100.26605517640876,5.0
2325,2409.0,149.82464247609278,0,5,25.615241951402535,-100.26407489197258,5,42.19067805152008,25.616453484860433,-100.26538502025461,5.0
2331,1284.0,361.0333613298307,0,5,25.618254059648518,-100.26343332469908,5,23.804444843959615,25.61942047958343,-100.2614039812827,5.0
2359,1248.0,130.85189064407584,0,5,25.619406926831783,-100.26950458173305,5,86.3679587655449,25.618136440513293,-100.26922890852639,5.0
2423,2409.0,66.93350583680962,0,5,25.617097385266476,-100.26443247457789,5,68.79360850002183,25.616453484860433,-100.26538502025461,5.0
2430,,,1,5,25.608001074972833,-100.27682716171488,5,79.462082712643,,,
2459,2409.0,248.77490280705769,0,5,25.61492180956559,-100.26561964306418,5,81.7321006846006,25.616453484860433,-100.26538502025461,5.0
2469,2409.0,195.33093030597954,0,5,25.61809398462722,-100.2656311626237,5,71.83851750895049,25.616453484860433,-100.26538502025461,5.0
2477,,,1,5,25.609689460638236,-100.27238360187653,5,52.63103019886035,,,
2486,66.0,150.47245234005294,0,5,25.6101914310894,-100.27416005231622,5,53.795036892748094,25.61026465418857,-100.27575753685043,5.0
2531,,,1,5,25.621110856186235,-100.27133633385252,5,8.59297378154755,,,
2550,2409.0,262.9083070403627,0,5,25.616506141137265,-100.26231601769751,5,112.52253549346011,25.616453484860433,-100.26538502025461,5.0
2599,,,1,5,25.61932647407473,-100.25921539397389,5,0.0,,,
2603,2409.0,319.0545439647858,0,5,25.616808253927513,-100.26207379160716,5,114.92777485455326,25.616453484860433,-100.26538502025461,5.0
2607,,,1,5,25.620420240715177,-100.26755549539256,5,0.0,,,
2618,,,1,5,25.611162056493775,-100.26935403120878,5,10.149223447627197,,,
2621,66.0,202.44677961813795,0,5,25.610751988015217,-100.27387098111508,5,32.45571942495491,25.61026465418857,-100.27575753685043,5.0
2699,942.0,143.2876640497469,0,5,25.613870838147378,-100.26629516273749,5,196.34926714662475,25.613323364868656,-100.2662673782813,5.0
2718,488.0,299.73854179590444,0,5,25.6218735536249,-100.26657440066855,5,48.17353366905081,25.620383704649388,-100.26605517640876,5.0
2737,906.0,142.81192511620523,0,5,25.625669378862533,-100.27061955260166,5,121.88641243009117,25.62574194071429,-100.26945383759315,5.0
2742,,,1,5,25.61690330549617,-100.26076242127183,5,100.16928719224403,,,
2744,488.0,249.1232835210006,0,5,25.62136706426856,-100.2628519006887,5,283.76443611826426,25.620383704649388,-100.26605517640876,5.0
2761,2409.0,327.0948841551716,0,5,25.61391955365044,-100.26356961156478,5,62.3954307680008,25.616453484860433,-100.26538502025461,5.0
2766,2570.0,186.17057981936287,0,5,25.623586380950687,-100.26598049835704,5,53.03562524496077,25.62293379586146,-100.26749161081092,5.0
2824,,,1,5,25.61065263818537,-100.27030484013292,5,34.070155552664765,,,
2836,1284.0,218.57741927693525,0,5,25.61856108865803,-100.26199192006396,5,211.35850689200618,25.61942047958343,-100.2614039812827,5.0
2852,2409.0,319.0545439647858,0,5,25.616287252764767,-100.26210483371301,5,25.19978327726313,25.616453484860433,-100.26538502025461,5.0
2858,66.0,251.8156627469476,0,5,25.609455441606908,-100.27365224881713,5,70.94389370592913,25.61026465418857,-100.27575753685043,5.0
2866,488.0,285.08784591834024,0,5,25.621330811062727,-100.26740542693042,5,77.5293405039408,25.620383704649388,-100.26605517640876,5.0
2903,,,1,5,25.608263167404797,-100.2779824931707,5,43.90275419085896,,,
2923,2409.0,112.61099575303832,0,5,25.617508378257,-100.26556259088939,5,170.1862901556542,25.616453484860433,-100.26538502025461,5.0
2936,1284.0,274.10339443303997,0,5,25.620350701486764,-100.26129496843635,5,252.79473924694977,25.61942047958343,-100.2614039812827,5.0
2969,,,1,5,25.61646951039612,-100.27051650272072,5,64.23098418657335,,,
3026,,,1,5,25.61647023157246,-100.26168202021655,5,79.67495522525353,,,
3046,2409.0,268.9934876609869,0,5,25.616878442291974,-100.26665774782637,5,179.38271526539845,25.616453484860433,-100.26538502025461,5.0
3047,942.0,135.91036287525435,0,5,25.61219389836516,-100.26794289178929,5,236.74750684747195,25.613323364868656,-100.2662673782813,5.0
3099,2409.0,202.98250779541354,0,5,25.61572312273584,-100.26411653530883,5,69.60258798931442,25.616453484860433,-100.26538502025461,5.0
3131,1284.0,157.25073732729624,0,5,25.618464469022875,-100.2625121390304,5,26.443534579786103,25.61942047958343,-100.2614039812827,5.0
3136,,,1,5,25.6203348334402,-100.26064489188006,5,66.31751639042983,,,
3138,1248.0,256.562605442247,0,5,25.620363369694214,-100.26865550508272,5,37.97124132999063,25.618136440513293,-100.26922890852639,5.0
3158,2570.0,137.4931447798866,0,5,25.623890812776718,-100.26812233024717,5,70.74438909010757,25.62293379586146,-100.26749161081092,5.0
3159,488.0,178.25869406918238,0,5,25.619487769421834,-100.26708917377395,5,74.92949708677709,25.620383704649388,-100.26605517640876,5.0
