cluster,opened,n_demands,covered,pct_covered,mean_dist_m,w_mean_dist_m,objective_value
0,7,1282,641,0.5,224.6399883405284,227.4472601179237,289709970.3491374
1,7,1182,344,0.2910321489001692,226.7293017163362,220.12509890990424,372493250.5244741
2,7,1107,546,0.4932249322493225,216.7551305348179,221.62916123428369,244017629.68775666
3,7,590,280,0.4745762711864407,227.92347473467606,238.73864308496036,127240509.47568442
4,7,358,137,0.38268156424581007,222.23891393858926,226.36043788851921,94455338.16385522
5,7,212,162,0.7641509433962265,205.98398960757567,194.0454328888656,20042979.33812535
