i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
14,1016.0,295.0548406817758,0,0,25.677685259803525,-100.30009772725863,0,25.33428071526304,25.679567445472628,-100.30079918443712,0.0
16,24.0,353.07012150750865,0,0,25.687260388096156,-100.31262360923971,0,149.92043040218266,25.684451627714257,-100.31378530940994,0.0
19,51.0,220.94091349641536,0,0,25.6905539103363,-100.2888083709003,0,38.188859390354686,25.690593333883264,-100.28787546145786,0.0
20,,,1,0,25.67625273039972,-100.31086713975425,0,72.63401558460222,,,
23,3.0,171.41389532352042,0,0,25.68777018213456,-100.28983651427413,0,65.26270770962324,25.68710943244937,-100.29082141465199,0.0
25,,,1,0,25.686944124334723,-100.30470616719818,0,111.76538178926869,,,
34,,,1,0,25.693942822289397,-100.27514537232058,0,80.13214621158599,,,
36,,,1,0,25.6888046621878,-100.31289194111399,0,29.555519471926964,,,
38,,,1,0,25.685734727796575,-100.30866572560763,0,27.706175633464618,,,
56,147.0,310.9670105877799,0,0,25.68998241210968,-100.27619518592059,0,79.99084207694062,25.69097558191448,-100.27517426599623,0.0
62,,,1,0,25.68340709382061,-100.28114855639954,0,43.519894932545995,,,
75,40.0,0.0,0,0,25.68037150162922,-100.31622283395552,0,74.83757814489863,25.679450963849682,-100.31635027985463,0.0
83,46.0,266.6492887214333,0,0,25.679979944941056,-100.29683245126417,0,53.24312113630872,25.679623204767292,-100.29391986024814,0.0
84,1988.0,337.28052257457495,0,0,25.689225785140525,-100.28072482056353,0,246.05134495755382,25.691220316671235,-100.2817025818244,0.0
87,,,1,0,25.6890246217197,-100.27718601722637,0,78.20870565192476,,,
88,,,1,0,25.666348785551964,-100.30952156253798,0,6.660863959684633,,,
89,,,1,0,25.664811798115057,-100.31186858737534,0,9.287000335010307,,,
90,7.0,247.48249635040264,0,0,25.688322213691876,-100.28275529963256,0,72.56876440373009,25.686981656481883,-100.28378023537066,0.0
106,1206.0,324.5138929074001,0,0,25.674305290764643,-100.30711358110759,0,71.30039223050177,25.676698099211094,-100.30694460989564,0.0
107,1016.0,289.6642763054514,0,0,25.68012174327401,-100.2978834263358,0,88.67771418529206,25.679567445472628,-100.30079918443712,0.0
108,1016.0,93.45002117829678,0,0,25.680435252981123,-100.30068421725403,0,73.13598990654489,25.679567445472628,-100.30079918443712,0.0
111,58.0,215.5189935488848,0,0,25.677466016195297,-100.33009357328118,0,21.679191113290255,25.677166929258462,-100.32726278405026,0.0
115,,,1,0,25.682755002713126,-100.29063264717725,0,163.48508376231337,,,
116,,,1,0,25.68974179339254,-100.27886168256482,0,112.85910113140044,,,
120,,,1,0,25.683115479056404,-100.28402616232158,0,0.0,,,
121,36.0,279.49987332380795,0,0,25.669339027582716,-100.31639540448359,0,57.788844499181465,25.66812734188362,-100.31515976960493,0.0
122,,,1,0,25.683529089987406,-100.27324045782981,0,82.90412583200423,,,
127,147.0,0.0,0,0,25.69097558191448,-100.27517426599623,0,322.6016445941712,25.69097558191448,-100.27517426599623,0.0
132,,,1,0,25.672922392144404,-100.32603369324586,0,258.66458916739833,,,
135,1662.0,202.00180682490475,0,0,25.6849600474873,-100.29442718241222,0,64.99160491370249,25.68636923689869,-100.29493695458288,0.0
136,,,1,0,25.672057714759777,-100.33236619523483,0,44.82762697955184,,,
137,,,1,0,25.665007452457015,-100.3130766056501,0,0.0,,,
141,,,1,0,25.679525037000243,-100.30849635511295,0,27.134094081875837,,,
146,,,1,0,25.680209565692376,-100.30646750694584,0,103.06153708647705,,,
151,12.0,237.48311477848793,0,0,25.67612497971707,-100.31772437972026,0,10.149447872735148,25.67582530794011,-100.31493834780967,0.0
