cluster,opened,n_demands,covered,pct_covered,mean_dist_m,w_mean_dist_m,objective_value
0,7,556,296,0.5323741007194245,207.1514284659087,215.51134610003706,132377936.63724597
1,7,544,233,0.42830882352941174,228.1426461178145,209.39812816210622,167261579.8484156
2,7,356,229,0.6432584269662921,240.4587782970342,248.4300003621102,62968849.7352947
3,7,244,224,0.9180327868852459,211.9149592176396,204.807173980628,13297107.848859075
4,7,189,112,0.5925925925925926,200.9593822280433,180.6113286488754,34637537.02210855
5,7,185,114,0.6162162162162163,193.59026835819057,202.84709441435882,32490595.208261058
