i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
3,612.0,28.216236616173504,0,4,18.020371169535817,-92.92248066105628,4,73.82971121349009,18.019736487121783,-92.92244698018023,4.0
14,,,1,4,18.024406386487712,-92.92866418233966,4,27.043139260406313,,,
19,1012.0,365.7371835214601,0,4,18.02181680166116,-92.91921804061671,4,72.86862096427306,18.0216347438369,-92.91645435246768,4.0
33,,,1,4,18.027749639113257,-92.92901026450684,4,70.59219241646782,,,
35,,,1,4,18.01895144771146,-92.91643106967847,4,46.92491627498117,,,
58,1012.0,182.27891981867342,0,4,18.02105929412746,-92.91719688210736,4,11.471306266086494,18.0216347438369,-92.91645435246768,4.0
59,,,1,4,18.024247424249772,-92.92101541528149,4,34.57029156302458,,,
62,172.0,235.5275903212026,0,4,18.024525341274952,-92.91444637679223,4,269.5684472076607,18.026071279588425,-92.91488875580153,4.0
67,,,1,4,18.01353806046732,-92.92584433484916,4,463.8626135799641,,,
69,,,1,4,18.01659251934443,-92.92669191025395,4,44.05191248201018,,,
82,172.0,361.56057136147626,0,4,18.029079844250038,-92.91635232423958,4,109.46183646728974,18.026071279588425,-92.91488875580153,4.0
95,384.0,51.59128884416143,0,4,18.01923158120964,-92.93581895123022,4,27.432340020388335,18.01932942881047,-92.93534772510812,4.0
122,17.0,149.4648236734992,0,4,18.024833809288438,-92.9244959883483,4,125.73621556556947,18.02362093443785,-92.92444442573166,4.0
126,1012.0,280.5142753783322,0,4,18.02462960470183,-92.91559760092666,4,277.0044630498821,18.0216347438369,-92.91645435246768,4.0
161,853.0,293.20870610126264,0,4,18.00903990653103,-92.92324685656111,4,80.41866583103555,18.00962859281792,-92.92424066121012,4.0
166,612.0,235.93573929879753,0,4,18.02000126927713,-92.92082171252758,4,67.58866340785418,18.019736487121783,-92.92244698018023,4.0
171,17.0,228.98011681497684,0,4,18.023976450112862,-92.92546433254732,4,92.62245779521588,18.02362093443785,-92.92444442573166,4.0
229,172.0,89.95420539718785,0,4,18.027063551928386,-92.91429817591515,4,109.47626401095886,18.026071279588425,-92.91488875580153,4.0
230,612.0,43.960301270592005,0,4,18.01980429274759,-92.92287542492166,4,19.591634943961786,18.019736487121783,-92.92244698018023,4.0
233,172.0,0.0,0,4,18.026071279588425,-92.91488875580153,4,11.150086812686993,18.026071279588425,-92.91488875580153,4.0
235,1012.0,277.86176033259375,0,4,18.023053562147886,-92.9188097104582,4,139.63589074324028,18.0216347438369,-92.91645435246768,4.0
242,853.0,184.47181333253835,0,4,18.010016980648768,-92.92583409363479,4,148.1916232823446,18.00962859281792,-92.92424066121012,4.0
253,1012.0,174.6171697452191,0,4,18.020259069838453,-92.91740916082472,4,18.216800870687884,18.0216347438369,-92.91645435246768,4.0
259,,,1,4,18.029649032455108,-92.93067465195928,4,105.78972251871582,,,
