i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
0,701.0,197.39267273713324,0,2,17.97498536740141,-92.90819909925581,2,85.68742920268893,17.97607899071451,-92.90893843080529,2.0
5,,,1,2,17.995931716665677,-92.90482205256848,2,33.93527782251907,,,
6,843.0,232.84649564786218,0,2,17.981357494592398,-92.91708320225263,2,45.470365827425915,17.982278501803048,-92.91857727855385,2.0
10,843.0,307.3244555834938,0,2,17.979852547079847,-92.91926604819052,2,125.14841574822097,17.982278501803048,-92.91857727855385,2.0
23,988.0,282.73727989840995,0,2,17.996424663794638,-92.91048285031339,2,53.755110677237376,17.99489818311808,-92.90849083409381,2.0
24,,,1,2,17.972503754594925,-92.90823915911224,2,206.75748308999465,,,
37,,,1,2,17.98933385050007,-92.91279690649738,2,67.68550259365371,,,
38,,,1,2,17.975640753358128,-92.90665307302685,2,10.146137669782334,,,
39,,,1,2,17.993038529654015,-92.91291261056168,2,123.79332108591188,,,
43,701.0,287.334087723567,0,2,17.978012338671327,-92.90948913610335,2,158.48234159527118,17.97607899071451,-92.90893843080529,2.0
56,548.0,290.3253314033388,0,2,17.977050385642062,-92.91516437285972,2,56.06768623758745,17.978218789918003,-92.9166905130994,2.0
57,701.0,281.6585262339415,0,2,17.97575789872483,-92.91140042295088,2,104.273458540297,17.97607899071451,-92.90893843080529,2.0
64,701.0,215.27362316943126,0,2,17.977702621722333,-92.90856726926832,2,2.859705989578499,17.97607899071451,-92.90893843080529,2.0
81,,,1,2,17.97296852491409,-92.90951087930758,2,74.99702739402107,,,
91,548.0,151.71179347225964,0,2,17.979116481755174,-92.91663660433409,2,641.3190843802977,17.978218789918003,-92.9166905130994,2.0
96,1255.0,336.03929469083556,0,2,17.97190395416604,-92.90671214023759,2,6.092387150393412,17.97367465854504,-92.90478896257713,2.0
97,196.0,325.31081634813916,0,2,17.981671607779262,-92.90467574752947,2,63.333600971752965,17.983326504338304,-92.90635889458524,2.0
109,,,1,2,17.972855621417445,-92.90333412910063,2,9.968763703048358,,,
112,988.0,93.8068029451828,0,2,17.995458189485046,-92.90928172385141,2,75.94119756590865,17.99489818311808,-92.90849083409381,2.0
114,,,1,2,17.971696482517785,-92.89407458674003,2,38.80784092662428,,,
117,,,1,2,17.99380856490527,-92.90572058280175,2,151.9468748749718,,,
128,196.0,298.65209136923994,0,2,17.98326459857431,-92.90815371543485,2,67.58297625781286,17.983326504338304,-92.90635889458524,2.0
131,1255.0,81.74967126558177,0,2,17.97354659687055,-92.90516964811792,2,26.505482866142707,17.97367465854504,-92.90478896257713,2.0
133,1255.0,42.597267180829846,0,2,17.974593232726825,-92.90432342090799,2,13.899399370940573,17.97367465854504,-92.90478896257713,2.0
136,843.0,326.65325591613805,0,2,17.980880229200526,-92.91982826957143,2,83.67288893711158,17.982278501803048,-92.91857727855385,2.0
137,988.0,139.73438571511127,0,2,17.99610663464397,-92.90915974326032,2,135.02549141583438,17.99489818311808,-92.90849083409381,2.0
146,196.0,300.5450123282168,0,2,17.984092727152966,-92.90837990027855,2,44.46168757768388,17.983326504338304,-92.90635889458524,2.0
147,,,1,2,17.98436284696493,-92.91007721223188,2,9.523488599033861,,,
148,,,1,2,17.977426002880755,-92.90574972220521,2,35.207956241947414,,,
149,548.0,280.40390099822855,0,2,17.977558342105063,-92.91907842513844,2,57.38246603708607,17.978218789918003,-92.9166905130994,2.0
160,,,1,2,17.994905857107984,-92.90535483918364,2,191.28581462714817,,,
163,196.0,307.4728150092468,0,2,17.98245528403143,-92.90454686121954,2,161.29999710515634,17.983326504338304,-92.90635889458524,2.0
165,,,1,2,17.975946189332205,-92.91394722151746,2,0.9541894569646318,,,
168,196.0,217.05442984849896,0,2,17.984124118458183,-92.9050060649167,2,116.71527424927781,17.983326504338304,-92.90635889458524,2.0
169,701.0,54.1993889101848,0,2,17.975855822651567,-92.90936266488524,2,49.621662479803476,17.97607899071451,-92.90893843080529,2.0
175,196.0,248.29486521546437,0,2,17.983241897780594,-92.90573401831571,2,8.541775965908347,17.983326504338304,-92.90635889458524,2.0
190,548.0,231.8944489749101,0,2,17.979260460900033,-92.91730018433634,2,105.23458257193306,17.978218789918003,-92.9166905130994,2.0
193,701.0,231.44819542972155,0,2,17.976113338672274,-92.91089213237682,2,69.82647895038465,17.97607899071451,-92.90893843080529,2.0
195,460.0,173.86854368756687,0,2,17.979774758481902,-92.91106130670306,2,330.3850125506597,17.980926739568876,-92.91125049728021,2.0
202,1255.0,131.49873790750559,0,2,17.97279934641391,-92.90398556943269,2,156.12118642947792,17.97367465854504,-92.90478896257713,2.0
203,701.0,106.70087140689802,0,2,17.975631062351372,-92.90977228307145,2,19.75773086652901,17.97607899071451,-92.90893843080529,2.0
206,988.0,330.52237624167174,0,2,17.995619441259752,-92.91122084828571,2,76.9851842391569,17.99489818311808,-92.90849083409381,2.0
207,,,1,2,17.977639441807387,-92.90612700721728,2,51.697767769339386,,,
