cluster,opened,n_demands,covered,pct_covered,mean_dist_m,w_mean_dist_m,objective_value
0,13,639,388,0.6071987480438185,208.80436722620124,215.97357145542043,125983857.94452302
1,13,623,319,0.5120385232744783,219.95311740766385,211.89484418592252,164172906.341069
2,6,356,204,0.5730337078651685,239.83534730362996,246.8756151079672,74118247.25210941
3,6,244,213,0.8729508196721312,213.5429578466038,204.81204366722352,16433654.577497786
4,4,212,100,0.4716981132075472,198.5044875970121,195.92551295100134,55344568.00218829
