lat,lon,segmento,POBTOT,oxxo_presente,MCA1,MCA1_weight,es_candidato,segmento_gmm,node_id,graph_node
19.434989907555572,-99.13756474727295,2,471,1,0.398019453090932,0.971746742605337,False,2,0,3772750965
19.428050278421388,-99.20403326723725,0,12,0,0.403875422568587,0.9737855680981199,True,0,1,11290181658
19.437544131192464,-99.17770050296264,8,123,0,0.36872899377255214,0.9615489204716147,True,8,2,8145428303
19.426331522412006,-99.14817848455016,4,0,0,-0.621363781630044,0.6168363330147325,True,4,3,10702861277
19.429245527105927,-99.16639539499047,10,60,0,0.4117355078166779,0.9765221503566859,False,10,4,8218594635
19.431216610618105,-99.20254647270758,0,49,0,0.3146333728610177,0.9427148860076028,True,0,5,272011810
19.422061513694306,-99.17248862075631,6,54,0,-1.5681741890165,0.2871930172875001,False,6,6,11481003950
19.428564497008946,-99.19055394416822,1,76,0,0.3942409759586887,0.9704312208065109,True,1,7,271994198
19.4322279750754,-99.17355964072452,8,0,0,-0.7545679964109745,0.5704596997556668,True,8,8,1409559935
19.415066369204133,-99.1772468297935,5,75,0,0.3865430269527199,0.9677510882109777,True,5,9,8051624489
19.42984239149753,-99.17942018270762,8,304,0,0.4531697695589425,0.9909479818841747,True,8,10,401428033
19.417833934324744,-99.1485881599041,3,55,0,0.3223626826502247,0.9454059372331911,True,3,11,268511737
19.429527616219247,-99.15649732686211,4,5,0,0.15019536929753213,0.8854638373252568,False,4,12,4750171649
19.432200038311173,-99.18450500030175,1,7,0,-0.5320262263960531,0.647940266491329,True,1,13,8144939591
19.430129055095048,-99.17839909785991,8,0,0,-0.5400628536332952,0.6451422190373924,True,8,14,401427437
19.410690810816003,-99.17944539195732,5,0,0,-0.5280817047003833,0.6493135986817808,False,5,15,30384360
19.41538797186792,-99.15326363939913,3,88,0,0.2747686367645368,0.9288355035199202,False,3,16,11184908403
19.423349062238973,-99.15468618591244,4,139,0,0.43577727361072177,0.9848925773507899,False,4,17,268512740
19.42052100303434,-99.17492824276279,6,17,0,0.28762260002940226,0.9333107638654023,True,6,18,268467033
19.434678838579543,-99.19281595321476,1,34,0,0.2905908502012099,0.934344195501672,True,1,19,271999666
19.412480329135153,-99.17868589431106,5,3,0,-0.5315226210205757,0.6481156026985521,True,5,20,8051574435
19.43196260916997,-99.16118708881804,10,193,0,0.40432070901667555,0.9739405998764475,False,10,21,3750551664
19.414045180115714,-99.16219136716748,7,184,0,0.2906884103426111,0.9343781622264181,True,7,22,8226746680
19.411562566113965,-99.16539923611796,7,33,0,-1.6430411309773931,0.26112720010402485,False,7,23,268378315
19.437990026824295,-99.16212781536802,10,14,0,0.2592411479152332,0.9234294234121497,True,10,24,3772751004
19.41503882835406,-99.17125946618921,5,320,0,0.35221455669408763,0.9557992225875991,False,5,25,4567641194
