"CVEGEO","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_LOC","NOM_LOC","CVE_AGEB","CVE_MZA","POBTOT","POBFEM","POBMAS","POB0_14","POB0_14_P","P15A29A","P15A29A_P","P30A59A","P30A59A_P","P_60YMAS","P_60YMAS_P","P_CD_T","P_CD_P","GRAPROES","GRAPROES_F","GRAPROES_M","VIVTOT","VIVPAR","VIVPAR_P","TVIPAHAB","TVIPAHAB_P","VIVNOHAB","VIVNOHAB_P","PROM_OCUP","PRO_OCUP_C","V3MASOCU","V3MASOCU_P","VPH_PIDT","VPH_PIDT_P","VPH_C_EL","VPH_C_EL_P","VPH_EXSA","VPH_EXSA_P","VPH_DREN","VPH_DREN_P","RECUCALL_C","RAMPAS_C","PASOPEAT_C","BANQUETA_C","GUARNICI_C","CICLOVIA_C","CICLOCAR_C","ALUMPUB_C","LETRERO_C","TELPUB_C","ARBOLES_C","DRENAJEP_C","TRANSCOL_C","ACESOPER_C","ACESOAUT_C","PUESSEMI_C","PUESAMBU_C","RECUCALL_D","RAMPAS_D","BANQUETA_D","GUARNICI_D","ALUMPUB_D","LETRERO_D","TELPUB_D","ARBOLES_D","DRENAJEP_D","TRANSCOL_D","ACESOPER_D","ACESOAUT_D","PUESSEMI_D","PUESAMBU_D","FECHA_POLI","FECHA_INF"
"0901500011144017","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","1144","017","175","98","77","26","14.86","45","25.71","70","40.0","34","19.43","7","4.0","11.26","11.43","11.06","68","68","100.0","61","89.71","7","10.29","2.87","0.82","0","0.0","60","100.0","60","100.0","60","100.0","60","100.0","1","3","2","2","2","3","3","2","2","2","2","2","2","3","3","3","2","Todas las vialidades","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Alguna vialidad","2020","2020"
"0901600011014009","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","1014","009","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0.0","0.0","0","0","0.0","0","0.0","0","0.0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1","3","3","2","1","3","2","2","3","3","1","2","3","3","3","2","3","Todas las vialidades","Ninguna vialidad","Alguna vialidad","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Ninguna vialidad","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Ninguna vialidad","2020","2020"
"0901600010711026","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0711","026","165","90","75","17","10.3","30","18.18","99","60.0","19","11.52","6","3.64","15.86","15.58","16.19","111","111","100.0","79","71.17","32","28.83","2.09","0.54","0","0.0","79","100.0","79","100.0","79","100.0","79","100.0","1","2","2","1","1","3","3","2","2","2","2","2","2","3","3","2","2","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Alguna vialidad","2020","2020"
"0901600010849006","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0849","006","53","31","22","6","11.32","11","20.75","25","47.17","11","20.75","0","0.0","14.57","13.35","16.1","23","23","100.0","22","95.65","-1","4.35","2.41","0.45","0","0.0","22","100.0","22","100.0","22","100.0","22","100.0","1","1","1","1","1","3","3","2","2","3","2","2","2","3","3","3","3","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600010942007","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0942","007","51","29","22","16","31.37","4","7.84","18","35.29","13","25.49","-1","-1.0","14.17","13.1","15.6","17","17","100.0","16","94.12","-1","5.88","3.19","0.57","0","0.0","16","100.0","16","100.0","16","100.0","16","100.0","1","3","1","1","1","3","3","1","2","3","1","2","2","3","3","3","3","Todas las vialidades","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Todas las vialidades","Alguna vialidad","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"090150001095A006","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","095A","006","77","33","44","6","7.79","16","20.78","51","66.23","4","5.19","-1","-1.0","14.75","13.93","15.31","56","56","100.0","46","82.14","10","17.86","1.67","0.52","0","0.0","46","100.0","46","100.0","46","100.0","46","100.0","1","1","1","1","2","3","3","1","2","2","1","1","2","3","3","2","2","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Todas las vialidades","Alguna vialidad","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Alguna vialidad","2020","2020"
"090160001068A020","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","068A","020","51","31","20","6","11.76","10","19.61","20","39.22","15","29.41","-1","-1.0","13.96","13.29","15.06","23","23","100.0","20","86.96","3","13.04","2.55","0.54","0","0.0","20","100.0","20","100.0","20","100.0","20","100.0","1","3","1","1","1","3","3","2","1","2","1","1","2","3","3","2","2","Todas las vialidades","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Alguna vialidad","2020","2020"
"0901600010891007","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0891","007","43","19","24","0","0.0","-1","4.65","26","60.47","15","34.88","4","9.3","13.58","13.63","13.54","42","41","97.62","29","70.73","12","29.27","1.31","0.39","0","0.0","29","100.0","29","100.0","29","100.0","29","100.0","1","1","1","1","1","3","3","1","2","3","1","1","2","3","3","3","3","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901500011303015","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","1303","015","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0.0","0.0","0","0","0.0","0","0.0","0","0.0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1","1","2","1","1","3","3","2","2","3","2","1","2","3","3","3","2","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Alguna vialidad","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Alguna vialidad","2020","2020"
"0901600010622023","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0622","023","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0.0","0.0","0","0","0.0","0","0.0","0","0.0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1","1","1","1","1","2","2","1","1","3","1","1","2","3","3","2","2","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Alguna vialidad","2020","2020"
"0901500011106005","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","1106","005","39","26","13","5","12.82","13","33.33","16","41.03","5","12.82","-1","2.56","11.64","10.83","13.78","23","23","100.0","13","56.52","10","43.48","3.0","0.62","0","0.0","13","100.0","13","100.0","13","100.0","13","100.0","1","1","1","1","1","3","2","2","2","3","2","1","2","3","3","2","2","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Alguna vialidad","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Alguna vialidad","2020","2020"
