cluster,opened,n_demands,covered,pct_covered,mean_dist_m,w_mean_dist_m,objective_value,solver_status
0,12,556,353,63.49,209.21,215.33,103689982.88386062,Optimal
1,11,544,289,53.12,220.34,211.22,140251111.15249977,Optimal
2,6,356,204,57.3,239.84,246.88,74118247.25210941,Optimal
3,5,244,207,84.84,217.3,214.39,21908402.163844272,Optimal
4,4,189,90,47.62,215.67,208.51,47495765.462553784,Optimal
5,4,185,81,43.78,189.38,192.06,50326007.78278447,Optimal
