D_MAX,S_MIN,beta,p_total,coverage_rate,w_coverage_rate,mean_dist_m,w_mean_dist_m,n_covered,n_demands,n_openings,runtime_s,solver_status,is_pareto
300,180,0.1,42,0.472,0.5292,178.29,174.2,979,2074,42,6.99,OK,False
300,180,0.25,42,0.472,0.5292,178.29,174.2,979,2074,42,6.09,OK,True
300,180,0.5,42,0.4701,0.5268,178.47,173.92,975,2074,42,5.26,OK,True
300,200,0.1,42,0.472,0.5292,178.29,174.2,979,2074,42,7.13,OK,False
300,200,0.25,42,0.472,0.5292,178.29,174.2,979,2074,42,7.39,OK,False
300,200,0.5,42,0.4701,0.5268,178.47,173.92,975,2074,42,6.57,OK,False
300,240,0.1,42,0.472,0.5292,178.29,174.2,979,2074,42,9.6,OK,False
300,240,0.25,42,0.472,0.5292,178.29,174.2,979,2074,42,9.69,OK,False
300,240,0.5,42,0.4701,0.5268,178.47,173.92,975,2074,42,8.86,OK,False
300,300,0.1,42,0.472,0.5292,178.29,174.2,979,2074,42,9.52,OK,False
300,300,0.25,42,0.472,0.5292,178.29,174.2,979,2074,42,9.55,OK,False
300,300,0.5,42,0.4701,0.5268,178.47,173.92,975,2074,42,8.78,OK,False
366,180,0.1,42,0.5998,0.6476,217.41,215.94,1244,2074,42,6.95,OK,True
366,180,0.25,42,0.5955,0.6484,217.2,215.55,1235,2074,42,7.34,OK,True
366,180,0.5,42,0.5979,0.6478,218.41,218.97,1240,2074,42,6.93,OK,True
366,200,0.1,42,0.5998,0.6476,217.41,215.94,1244,2074,42,8.29,OK,False
366,200,0.25,42,0.5955,0.6484,217.2,215.55,1235,2074,42,8.14,OK,False
366,200,0.5,42,0.5979,0.6478,218.41,218.97,1240,2074,42,8.29,OK,False
366,240,0.1,42,0.5998,0.6476,217.41,215.94,1244,2074,42,10.92,OK,False
366,240,0.25,42,0.5955,0.6484,217.2,215.55,1235,2074,42,10.76,OK,False
366,240,0.5,42,0.5979,0.6478,218.41,218.97,1240,2074,42,11.1,OK,False
366,300,0.1,42,0.5998,0.6476,217.41,215.94,1244,2074,42,11.79,OK,False
366,300,0.25,42,0.5955,0.6484,217.2,215.55,1235,2074,42,12.42,OK,False
366,300,0.5,42,0.5979,0.6478,218.41,218.97,1240,2074,42,11.18,OK,False
400,180,0.1,42,0.6418,0.6777,228.14,223.29,1331,2074,42,6.94,OK,True
400,180,0.25,42,0.6379,0.6787,228.14,222.95,1323,2074,42,7.0,OK,True
400,180,0.5,42,0.6427,0.6833,229.82,227.39,1333,2074,42,7.03,OK,True
400,200,0.1,42,0.6418,0.6777,228.14,223.29,1331,2074,42,8.28,OK,False
400,200,0.25,42,0.6379,0.6787,228.14,222.95,1323,2074,42,8.27,OK,False
400,200,0.5,42,0.6427,0.6833,229.82,227.39,1333,2074,42,8.32,OK,False
400,240,0.1,42,0.6418,0.6777,228.14,223.29,1331,2074,42,10.96,OK,False
400,240,0.25,42,0.6379,0.6787,228.14,222.95,1323,2074,42,11.05,OK,False
400,240,0.5,42,0.6427,0.6833,229.82,227.39,1333,2074,42,13.28,OK,False
400,300,0.1,42,0.6418,0.6777,228.14,223.29,1331,2074,42,12.12,OK,False
400,300,0.25,42,0.6379,0.6787,228.14,222.95,1323,2074,42,10.87,OK,False
400,300,0.5,42,0.6427,0.6833,229.82,227.39,1333,2074,42,11.16,OK,False
450,180,0.1,42,0.6871,0.7138,241.1,233.48,1425,2074,42,6.91,OK,True
450,180,0.25,42,0.6823,0.715,240.92,233.23,1415,2074,42,6.84,OK,True
450,180,0.5,42,0.6837,0.715,241.43,236.09,1418,2074,42,6.89,OK,True
450,200,0.1,42,0.6871,0.7138,241.1,233.48,1425,2074,42,8.53,OK,False
450,200,0.25,42,0.6823,0.715,240.92,233.23,1415,2074,42,8.51,OK,False
450,200,0.5,42,0.6837,0.715,241.43,236.09,1418,2074,42,8.24,OK,False
450,240,0.1,42,0.6871,0.7138,241.1,233.48,1425,2074,42,10.9,OK,False
450,240,0.25,42,0.6823,0.715,240.92,233.23,1415,2074,42,10.97,OK,False
450,240,0.5,42,0.6837,0.715,241.43,236.09,1418,2074,42,11.0,OK,False
450,300,0.1,42,0.6871,0.7138,241.1,233.48,1425,2074,42,10.89,OK,False
450,300,0.25,42,0.6823,0.715,240.92,233.23,1415,2074,42,10.82,OK,False
450,300,0.5,42,0.6837,0.715,241.43,236.09,1418,2074,42,10.76,OK,False
