beta,w_mean,w_std,cv_weight,corr_w_pop,frac_upweighted
0.0,117.424,139.902,1.1914,1.0,0.0
0.1,114.411,134.362,1.1744,0.9981,0.128
0.25,109.891,127.103,1.1566,0.9868,0.128
0.5,102.358,118.353,1.1563,0.9373,0.128
1.0,87.293,116.281,1.3321,0.705,0.128
