multiplier,threshold_m,n_candidates,pct_candidates,n_excluded
0.5,241.9,2206,93.5,154
0.75,362.9,2053,87.0,307
1.0,483.8,1942,82.3,418
1.25,604.8,1813,76.8,547
1.5,725.8,1673,70.9,687
