D_MAX,S_MIN,beta,p_total,coverage_rate,w_coverage_rate,mean_dist_m,w_mean_dist_m,n_covered,n_demands,n_openings,runtime_s,solver_status
366,240,0.25,30,0.4995,0.5624,221.46,216.77,1036,2074,30,12.91,OK
366,240,0.25,42,0.5926,0.6447,217.5,216.34,1229,2074,42,10.77,OK
366,240,0.25,54,0.6432,0.7028,213.49,210.2,1334,2074,54,12.74,OK
