cluster,opened,n_demands,covered,pct_covered,mean_dist_m,w_mean_dist_m,objective_value,solver_status
0,11,1282,744,58.03,220.91,225.18,249269719.28637767,Optimal
1,11,1182,430,36.38,234.67,231.07,328554023.9249423,Optimal
2,10,1107,630,56.91,217.53,223.39,208944493.8677151,Optimal
3,5,590,242,41.02,226.86,238.97,143491399.6432915,Optimal
4,3,358,77,21.51,234.33,246.38,124770175.77500674,Optimal
5,2,212,84,39.62,231.09,217.7,61918749.43609591,Optimal
