D_MAX,S_MIN,beta,p_total,coverage_rate,w_coverage_rate,mean_dist_m,w_mean_dist_m,n_covered,n_demands,n_openings,runtime_s,solver_status
366,240,0.25,30,0.4126,0.4295,222.57,225.96,1952,4731,30,23.78,OK
366,240,0.25,42,0.4777,0.4938,223.64,227.78,2260,4731,42,26.03,OK
366,240,0.25,54,0.5295,0.5504,224.6,228.83,2505,4731,54,22.71,OK
