model,coverage_rate,w_mean_dist_m,n_covered,runtime_s,solver_status,n_openings,n_demands,coverage_pct
Proposed (spectral + MCA),0.8552,177.25,1240,,OK,77,1450,85.52
B1: Global P-Median (no clustering),0.8083,200.45,1172,9.46,OK,42,1450,80.83
B2: K-Means + P-Median,0.8972,182.14,1301,3.27,OK,77,1450,89.72
B3: Euclidean distances,0.9559,148.11,1386,6.76,OK,77,1450,95.59
B4: No MCA (β=0),0.8614,174.59,1249,2.77,OK,77,1450,86.14
