i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
6,768.0,124.95679064782229,0,1,19.428564497008946,-99.19055394416822,1,84.21874161282499,19.42985588092969,-99.18934989832329,1.0
11,,,1,1,19.432200038311173,-99.18450500030175,1,4.980982388463798,,,
15,940.0,342.83771687503776,0,1,19.434678838579543,-99.19281595321476,1,36.1679939914113,19.432571289208898,-99.19377293546495,1.0
23,932.0,348.6816797098482,0,1,19.436786531134892,-99.1934300782889,1,531.6752196625769,19.436904769545908,-99.19594637019844,1.0
41,802.0,341.81521782423215,0,1,19.43090080823624,-99.1981250389251,1,486.36035801661586,19.431057121253687,-99.19956399965939,1.0
55,768.0,319.2259000299566,0,1,19.43084955350597,-99.18773006792729,1,12.14005569985524,19.42985588092969,-99.18934989832329,1.0
65,,,1,1,19.426528960882717,-99.19417797559535,1,199.788913612879,,,
68,,,1,1,19.425976185896513,-99.18698789371338,1,41.83216373238114,,,
69,,,1,1,19.439645821330902,-99.18698720651952,1,54.33364508593732,,,
75,749.0,339.6999757866781,0,1,19.435088526525977,-99.20006343520433,1,222.18431510982927,19.435496653493836,-99.20362553432783,1.0
114,940.0,351.2156503900349,0,1,19.43100451889805,-99.19229839382047,1,22.847356799747477,19.432571289208898,-99.19377293546495,1.0
115,802.0,164.44439062335323,0,1,19.431293057071827,-99.20028413743897,1,318.26440761148024,19.431057121253687,-99.19956399965939,1.0
134,,,1,1,19.436226011272158,-99.18432823188412,1,94.94257058141639,,,
141,932.0,346.2373090237539,0,1,19.432615740720827,-99.19708106471573,1,334.62790963647905,19.436904769545908,-99.19594637019844,1.0
144,940.0,279.8405499741239,0,1,19.4347243384155,-99.19360481255958,1,356.7852141177156,19.432571289208898,-99.19377293546495,1.0
145,,,1,1,19.423220875436563,-99.18602462617719,1,42.15431676967302,,,
146,688.0,127.87732807600669,0,1,19.43342342358971,-99.18931575270763,1,242.94376910601878,19.434550797076604,-99.1884348487896,1.0
147,,,1,1,19.430838624448857,-99.18529323963745,1,215.15652732444514,,,
163,688.0,348.6901394594785,0,1,19.43660393404575,-99.18589374479242,1,79.24703345649546,19.434550797076604,-99.1884348487896,1.0
169,802.0,164.44439062335323,0,1,19.430636513020875,-99.2011835066823,1,437.2576248827181,19.431057121253687,-99.19956399965939,1.0
180,,,1,1,19.439544381209323,-99.19714951126903,1,115.3637665636762,,,
181,749.0,252.59245091275852,0,1,19.437256503073336,-99.20429714849207,1,16.261763467781226,19.435496653493836,-99.20362553432783,1.0
192,,,1,1,19.436525150572553,-99.18670771745825,1,363.02332135805216,,,
200,768.0,181.85444633992608,0,1,19.430858554215924,-99.18852042300715,1,107.44403178385568,19.42985588092969,-99.18934989832329,1.0
257,688.0,264.64982341066684,0,1,19.434469885133435,-99.1892470918899,1,514.8735921380603,19.434550797076604,-99.1884348487896,1.0
263,,,1,1,19.42441938976348,-99.19488704443789,1,123.8416368411339,,,
268,,,1,1,19.428292409764392,-99.18687217428634,1,39.11330317048965,,,
275,768.0,157.63436738960417,0,1,19.429852293350987,-99.18854376773258,1,43.33930719735555,19.42985588092969,-99.18934989832329,1.0
276,,,1,1,19.437188867615156,-99.20587347485535,1,2.38858046374812,,,
299,768.0,241.37549801816203,0,1,19.42993329178261,-99.18776534225003,1,172.2899719699298,19.42985588092969,-99.18934989832329,1.0
302,932.0,257.9554807114007,0,1,19.437058103603118,-99.19922027646486,1,6.005052419893549,19.436904769545908,-99.19594637019844,1.0
336,,,1,1,19.432224643492834,-99.18525718717132,1,140.75937490990665,,,
337,,,1,1,19.43358975519806,-99.19172452480457,1,50.87206920190203,,,
351,802.0,202.91653009370955,0,1,19.430197310591012,-99.19743446224089,1,254.1646804014679,19.431057121253687,-99.19956399965939,1.0
354,,,1,1,19.427373897317242,-99.1929648388148,1,49.39357552144748,,,
380,688.0,339.87432029492766,0,1,19.436612847363058,-99.18919442685997,1,296.5033553930314,19.434550797076604,-99.1884348487896,1.0
394,940.0,364.8858263617366,0,1,19.43051677610492,-99.19480461614818,1,128.09365849620056,19.432571289208898,-99.19377293546495,1.0
403,932.0,22.45463860715969,0,1,19.436957462172366,-99.19688057935521,1,304.3331264323997,19.436904769545908,-99.19594637019844,1.0
407,749.0,242.00074407769284,0,1,19.43408192790724,-99.20368648429066,1,189.19888437173523,19.435496653493836,-99.20362553432783,1.0
416,,,1,1,19.433100393400302,-99.18449996257883,1,50.396543294197556,,,
428,932.0,267.66249688427314,0,1,19.436839961698062,-99.19429076615445,1,90.00129038449987,19.436904769545908,-99.19594637019844,1.0
434,749.0,330.47104846510945,0,1,19.43433715020339,-99.20515343413653,1,114.54904895803011,19.435496653493836,-99.20362553432783,1.0
438,,,1,1,19.434999879762735,-99.19856076815577,1,36.197104180344205,,,
440,749.0,170.84958189280803,0,1,19.435321947371385,-99.20235453269756,1,116.52832413203312,19.435496653493836,-99.20362553432783,1.0
453,940.0,272.8341852327798,0,1,19.432542550191226,-99.19143527777062,1,146.62256786405766,19.432571289208898,-99.19377293546495,1.0
460,932.0,96.69213125009985,0,1,19.436988075828676,-99.19770034077177,1,696.8900344218781,19.436904769545908,-99.19594637019844,1.0
472,688.0,89.3733278556054,0,1,19.432761339348822,-99.18768461682426,1,339.01410771560944,19.434550797076604,-99.1884348487896,1.0
474,768.0,181.85444633992608,0,1,19.430876164575043,-99.18932217128032,1,6.486307104767258,19.42985588092969,-99.18934989832329,1.0
475,,,1,1,19.436977420061073,-99.18496607958217,1,368.08579934309677,,,
488,,,1,1,19.43930206392464,-99.2029965382917,1,30.194118263944297,,,
496,802.0,260.1248095258767,0,1,19.42895123248172,-99.20052992930131,1,259.4249834936319,19.431057121253687,-99.19956399965939,1.0
502,,,1,1,19.43831524118832,-99.18636013885123,1,153.56076659516097,,,
505,,,1,1,19.42746588830185,-99.18683566368549,1,226.93168531060417,,,
522,,,1,1,19.422971323440976,-99.18939582413694,1,58.73409911227858,,,
536,749.0,252.59245091275852,0,1,19.43723320409391,-99.20352989010011,1,129.10452032501908,19.435496653493836,-99.20362553432783,1.0
559,940.0,256.2299516107071,0,1,19.429794649816646,-99.19257459817895,1,671.7656521151858,19.432571289208898,-99.19377293546495,1.0
577,768.0,337.6300098269753,0,1,19.430052619164467,-99.1870131274636,1,24.820544559859012,19.42985588092969,-99.18934989832329,1.0
608,932.0,177.72100859944157,0,1,19.436859717341985,-99.19512182949904,1,95.73625110966913,19.436904769545908,-99.19594637019844,1.0
611,749.0,281.1544242298237,0,1,19.435596409867504,-99.20510221252218,1,169.4626637645038,19.435496653493836,-99.20362553432783,1.0
614,,,1,1,19.430792953613913,-99.18453384999106,1,110.90092024876263,,,
618,,,1,1,19.43276791107712,-99.20221160225553,1,21.443951101473235,,,
656,,,1,1,19.437202045515694,-99.20177360747347,1,158.45195073452908,,,
665,,,1,1,19.42673897543713,-99.19137902597399,1,80.9126415563081,,,
668,932.0,346.5076203091979,0,1,19.434965204932883,-99.19780032750765,1,45.16443645144528,19.436904769545908,-99.19594637019844,1.0
679,688.0,268.25595678242547,0,1,19.432314146676795,-99.18684646890748,1,281.6737867493183,19.434550797076604,-99.1884348487896,1.0
680,1038.0,349.9492445752965,0,1,19.436694451010972,-99.1909738017964,1,307.2619477917152,19.438770502922893,-99.19083909166959,1.0
682,940.0,325.8014116219281,0,1,19.428202521345728,-99.19427836543922,1,134.41683439816308,19.432571289208898,-99.19377293546495,1.0
683,802.0,267.683542897203,0,1,19.430810007509848,-99.19753231696906,1,285.5564974002143,19.431057121253687,-99.19956399965939,1.0
691,802.0,334.2885107866008,0,1,19.430078135829962,-99.19643448944504,1,123.04129597832977,19.431057121253687,-99.19956399965939,1.0
715,768.0,44.81568392084454,0,1,19.42978460129499,-99.19022703629585,1,53.26756636469942,19.42985588092969,-99.18934989832329,1.0
727,1038.0,323.24696300289025,0,1,19.43936474410772,-99.19328748332684,1,671.5778857086488,19.438770502922893,-99.19083909166959,1.0
733,1038.0,316.55122838246297,0,1,19.438673221294003,-99.19003340428286,1,159.5409570444536,19.438770502922893,-99.19083909166959,1.0
735,,,1,1,19.42838050792227,-99.19845548515543,1,15.915690624925823,,,
744,768.0,307.43896351897126,0,1,19.429514513873396,-99.19106466255339,1,903.8084731184605,19.42985588092969,-99.18934989832329,1.0
745,940.0,77.95284358719204,0,1,19.432608677119045,-99.19455398962272,1,190.93632035434422,19.432571289208898,-99.19377293546495,1.0
746,688.0,63.770840744558264,0,1,19.433608370174927,-99.18825290675512,1,87.80788535697161,19.434550797076604,-99.1884348487896,1.0
748,,,1,1,19.43457848420729,-99.19119681003318,1,59.455074968195056,,,
757,749.0,260.72134181079383,0,1,19.43382088204622,-99.2020827352604,1,19.73480394371029,19.435496653493836,-99.20362553432783,1.0
769,1038.0,339.7831218079488,0,1,19.43838986429671,-99.18788894030692,1,64.18617122292659,19.438770502922893,-99.19083909166959,1.0
770,688.0,360.07560012969105,0,1,19.431855578870675,-99.18770226543218,1,17.238412697861783,19.434550797076604,-99.1884348487896,1.0
778,932.0,248.79071253220417,0,1,19.43509757775083,-99.19649764770439,1,7.1159398977648145,19.436904769545908,-99.19594637019844,1.0
780,768.0,80.7561968620762,0,1,19.429002145813044,-99.18877097601118,1,93.3488976201599,19.42985588092969,-99.18934989832329,1.0
784,,,1,1,19.428204316755703,-99.19516088748212,1,19.22310194545552,,,
792,,,1,1,19.434220300963208,-99.18445298683748,1,289.3634265507149,,,
793,,,1,1,19.428129342231063,-99.19768908632842,1,111.76623361206177,,,
801,749.0,203.71255086231776,0,1,19.435580183439995,-99.20437067777766,1,134.374532981526,19.435496653493836,-99.20362553432783,1.0
802,802.0,261.0450105369015,0,1,19.431001000093133,-99.19882905409538,1,31.991176082084493,19.431057121253687,-99.19956399965939,1.0
815,802.0,70.47057215526195,0,1,19.430305759494694,-99.2004993825786,1,8.304873846191212,19.431057121253687,-99.19956399965939,1.0
