lat,lon,segmento,POBTOT,oxxo_presente,MCA1,MCA1_weight,es_candidato,segmento_gmm,node_id,graph_node
17.97498536740141,-92.90819909925581,2,90,0,-0.15773653350768124,0.09735318583533613,True,2,0,2069206724
17.994097925646162,-92.92388583532825,0,56,0,-0.2707229941930331,0.049880787108847385,False,0,1,700126065
18.020676288876135,-92.9029725815169,3,0,0,-0.15683491669915647,0.09773200921269626,True,3,2,5347149094
18.009165133892367,-92.93789880423967,5,80,0,-0.30686191654784384,0.03469665512376952,False,5,3,5388605391
18.020371169535817,-92.92248066105628,4,82,0,-0.3023184194316481,0.03660565116988302,True,4,4,5780046260
18.02813097966062,-92.90241264863829,3,65,0,-0.3272216314939259,0.026142315957684233,False,3,5,5347859742
17.995931716665677,-92.90482205256848,2,20,0,1.923991733764569,0.9720122710452063,True,2,6,3428906111
17.981357494592398,-92.91708320225263,2,50,0,-0.2770335100951145,0.047229360333848884,True,2,7,5959772966
18.00762996796077,-92.93167257989103,5,33,0,-0.23394690789928027,0.06533262993626973,True,5,8,1600303496
17.98646561835989,-92.9238492535294,0,0,0,-0.15139191088596657,0.10001894289189103,False,0,9,4163557806
17.990148300499623,-92.92621912611337,0,27,0,1.9557168328489485,0.9853418907557057,True,0,10,4452591036
17.974471879618527,-92.93274929696767,0,402,0,-0.3108760875346594,0.033010060778867485,False,0,11,2069206647
17.979852547079847,-92.91926604819052,2,142,0,-0.35553132224312317,0.014247714437134825,True,2,12,6058663941
18.004223389324572,-92.91550786478201,0,205,0,-0.3690017520445287,0.00858797776894832,True,0,13,5330803572
18.02291534217298,-92.92981242839535,4,0,0,-0.06229320257398215,0.137454662015625,True,4,14,5780272943
17.980883725967537,-92.91734474527767,2,0,0,-0.06806207152155111,0.13503081366053304,True,2,15,5959774231
17.975015726446642,-92.92677362716674,0,16,0,1.9353561854966794,0.9767871598297758,True,0,16,2069206672
18.01119291158246,-92.92601932511658,4,0,0,1.9836076457505056,0.997060496532338,True,4,17,5591313260
17.993698458882655,-92.92322326661656,0,5,0,-0.1543568237812474,0.09877320489549472,False,0,18,700126057
18.024406386487712,-92.92866418233966,4,16,0,1.9056320145228565,0.964298250205345,True,4,19,5780270743
18.00950238804576,-92.89761480164474,0,284,0,-0.3351222656261169,0.022822785002909383,True,0,20,4443684336
17.984944994017933,-92.92703113758829,0,164,0,-0.2866607552407294,0.04318437638251483,False,0,21,5557497456
17.980419204442224,-92.9267252098928,0,88,0,-0.24669126380412637,0.05997796052404722,True,0,22,4567972872
17.999865468574196,-92.93029736918555,0,3,0,-0.14649221584415606,0.10207759908177542,True,0,23,703014897
18.02181680166116,-92.91921804061671,4,43,0,1.9179960302317753,0.96949311585592,True,4,24,5780875317
17.988652176128408,-92.92462723458348,0,132,0,-0.31208806491360414,0.03250083628389922,False,0,25,6061285926
18.001543521373677,-92.90685531959274,0,98,0,-0.29191213597829474,0.04097795590765325,True,0,26,4163558062
17.990753454455994,-92.91999447037654,0,76,0,-0.37106206348420356,0.007722317179425378,False,0,27,11509688259
17.996424663794638,-92.91048285031339,2,60,0,-0.31474095021575527,0.031386199821482025,False,2,28,313438372
17.972503754594925,-92.90823915911224,2,232,0,-0.3279424165914752,0.025839470843858948,False,2,29,3428905660
17.980422585182293,-92.95727156101432,1,52,0,-0.1493104434934473,0.10089349236794759,False,1,30,4354708746
17.977550745019222,-92.95597184294037,1,573,0,-0.35148944859122333,0.01594594833561426,True,1,31,6045066080
17.990460880999336,-92.95667782626998,1,0,0,-0.1545195069199152,0.0987048519372901,True,1,32,4163557829
17.988231699649727,-92.92569481234618,0,38,0,-0.07083069978105239,0.13386754662957,False,0,33,6061285898
18.0234694897622,-92.89656042967269,3,0,0,1.9836076457505056,0.997060496532338,True,3,34,8383804428
17.988415086811283,-92.95454399049268,1,129,0,-0.31839667207978933,0.029850211483499974,False,1,35,6055520773
18.018291609476535,-92.89901681649398,3,31,0,1.9141321482584281,0.9678696669527663,True,3,36,5347190248
17.998132196420627,-92.95817061046783,1,8,0,-0.15139191088596657,0.10001894289189103,True,1,37,3428906176
17.987334500707885,-92.94940521366394,1,389,0,-0.3333312597870726,0.023575294133621562,False,1,38,6055523383
18.00898394050492,-92.90412180826084,0,1507,0,-0.35925450200071457,0.012683382986174654,True,0,39,5366930609
18.027749639113257,-92.92901026450684,4,77,0,-0.2564186476470969,0.05589090229106933,True,4,40,1600016172
17.991812475141828,-92.91869590672,0,246,0,-0.3422260221510085,0.019838070195843386,False,0,41,8386557001
18.01895144771146,-92.91643106967847,4,51,0,-0.24715259225610525,0.05978412873142913,True,4,42,5780781652
17.988109076943182,-92.95334372369281,1,10,0,-0.14183934798106212,0.10403254834807364,False,1,43,6055522674
